#CSV created by Body Aspect
2492,-7595,1353
2447,-7595,1431
2465,-7595,1391
2449,-7595,1400
2482,-7595,1242
2396,-7595,1418
2394,-7595,1398
2414,-7595,1349
2468,-7595,1191
2396,-7595,1338
2445,-7595,1221
2441,-7595,1201
2478,-7595,1111
2341,-7595,1416
2405,-7595,1259
2346,-7595,1377
2391,-7595,1268
2443,-7595,1141
2475,-7595,1061
2507,-7595,982
2343,-7595,1356
2395,-7595,1228
2475,-7595,1031
2436,-7595,1100
2289,-7595,1435
2384,-7595,1199
2468,-7595,991
2484,-7595,952
2495,-7595,922
2262,-7595,1474
2290,-7595,1405
2330,-7595,1307
2217,-7595,1563
2224,-7595,1542
2338,-7595,1256
2385,-7595,1138
2202,-7595,1572
2237,-7595,1483
2296,-7595,1335
2386,-7595,1108
2425,-7595,1009
2440,-7595,970
2195,-7595,1561
2245,-7595,1433
2343,-7595,1186
2246,-7595,1403
2293,-7595,1284
2386,-7595,1048
2193,-7595,1511
2293,-7595,1254
2339,-7595,1136
2390,-7595,1007
2143,-7595,1610
2129,-7595,1619
2240,-7595,1332
2145,-7595,1549
2194,-7595,1421
2100,-7595,1638
2150,-7595,1510
2191,-7595,1401
2100,-7595,1608
2099,-7595,1558
2047,-7595,1636
2047,-7595,1606
2044,-7595,1556
2000,-7595,1614
1998,-7595,1563
2005,-7595,1514
1994,-7595,1513
1951,-7595,1542
1968,-7595,1463
1946,-7595,1492
1946,-7595,1461
1941,-7595,1411
1895,-7595,1480
1892,-7595,1460
1897,-7595,1410
1884,-7595,1349
1878,-7595,1298
1845,-7595,1328
1875,-7595,1238
1844,-7595,1298
1846,-7595,1258
1825,-7595,1216
1793,-7595,1206
1772,-7595,1165
1776,-7595,1115
1756,-7595,1065
1738,-7595,1044
1727,-7595,1003
1715,-7595,962
1717,-7595,912
1686,-7595,852
1685,-7595,812
1665,-7595,751
1634,-7595,730
1640,-7595,709
1628,-7595,710
1641,-7595,659
1641,-7595,609
1632,-7595,600
1614,-7595,569
1602,-7595,518
1589,-7595,467
1581,-7595,447
1577,-7595,418
1551,-7595,366
1530,-7595,395
1525,-7595,365
1513,-7595,195
1536,-7595,-275
1505,-7595,-256
1494,-7595,-277
1462,-7595,-318
1420,-7595,-382
1430,-7595,-491
1438,-7595,-430
1461,-7595,-539
1469,-7595,-569
1477,-7595,-519
1490,-7595,-598
1521,-7595,-636
1523,-7595,-627
1561,-7595,-693
1567,-7595,-664
1573,-7595,-693
1621,-7595,-700
1665,-7595,-728
1714,-7595,-726
1770,-7595,-683
1787,-7595,-662
1814,-7595,-651
1829,-7595,-630
1872,-7595,-597
1891,-7595,-566
1918,-7595,-555
1925,-7595,-525
1960,-7595,-473
1972,-7595,-471
1996,-7595,-361
1996,-7595,-420
2022,-7595,-359
2023,-7595,-408
2054,-7595,-327
-847,-7595,-425
-876,-7595,-446
-890,-7595,-447
-917,-7595,-427
-941,-7595,-389
-951,-7595,-348
-976,-7595,-320
-986,-7595,-280
-1008,-7595,-230
-1029,-7595,-172
-1051,-7595,-123
-1072,-7595,-73
-1084,-7595,-54
-1094,-7595,-24
-1115,-7595,25
-1128,-7595,25
-1148,-7595,74
-1182,-7595,113
-1194,-7595,123
-1213,-7595,171
-1226,-7595,171
-1268,-7595,240
-1279,-7595,249
-1287,-7595,280
-1318,-7595,328
-1330,-7595,327
-1361,-7595,377
-1369,-7595,406
-1402,-7595,435
-1421,-7595,464
-1441,-7595,493
-1471,-7595,533
-1497,-7595,591
-1520,-7595,601
-1536,-7595,640
-1561,-7595,699
-1564,-7595,678
-1569,-7595,658
-1591,-7595,728
-1622,-7595,746
-1657,-7595,805
-1664,-7595,775
-1667,-7595,815
-1675,-7595,835
-1711,-7595,884
-1715,-7595,863
-1734,-7595,932
-1765,-7595,901
-1765,-7595,952
-1811,-7595,950
-1824,-7595,989
-1860,-7595,978
-1859,-7595,1028
-1880,-7595,1037
-1911,-7595,1006
-1901,-7595,1086
-1909,-7595,1056
-1912,-7595,1087
-1959,-7595,1034
-1965,-7595,1013
-1966,-7595,1094
-2146,-7595,467
-2014,-7595,1082
-2008,-7595,1142
-2012,-7595,1132
-2151,-7595,627
-2165,-7595,576
-2157,-7595,647
-2172,-7595,596
-2177,-7595,575
-2116,-7595,838
-2167,-7595,656
-2220,-7595,464
-2131,-7595,827
-2142,-7595,786
-2242,-7595,433
-2085,-7595,1030
-2216,-7595,564
-2056,-7595,1171
-2166,-7595,786
-2183,-7595,725
-2220,-7595,594
-2117,-7595,998
-2166,-7595,826
-2250,-7595,532
-2073,-7595,1190
