#CSV created by Body Aspect
Body part , layer ,  X  , Y ,  Z 
1,1,-1052,-8671,-703
1,1,-1076,-8671,-663
1,1,-1091,-8671,-661
1,1,-1094,-8671,-681
1,1,-1114,-8671,-621
1,1,-1136,-8671,-580
1,1,-1146,-8671,-549
1,1,-1153,-8671,-509
1,1,-1161,-8671,-469
1,1,-1176,-8671,-390
1,1,-1182,-8671,-349
1,1,-1222,-8671,-328
1,1,-1216,-8671,-297
1,1,-1219,-8671,-238
1,1,-1218,-8671,-158
1,1,-1221,-8671,-178
1,1,-1257,-8671,-135
1,1,-1264,-8671,-106
1,1,-1276,-8671,-26
1,1,-1301,-8671,-13
1,1,-1296,-8671,7
1,1,-1303,-8671,47
1,1,-1351,-8671,79
1,1,-1356,-8671,119
1,1,-1362,-8671,148
1,1,-1392,-8671,197
1,1,-1430,-8671,269
1,1,-1466,-8671,342
1,1,-1476,-8671,352
1,1,-1478,-8671,401
1,1,-1485,-8671,421
1,1,-1517,-8671,454
1,1,-1524,-8671,474
1,1,-1554,-8671,513
1,1,-1561,-8671,534
1,1,-1568,-8671,505
1,1,-1599,-8671,585
1,1,-1609,-8671,596
1,1,-1616,-8671,616
1,1,-1629,-8671,667
1,1,-1648,-8671,687
1,1,-1663,-8671,728
1,1,-1673,-8671,778
1,1,-1694,-8671,789
1,1,-1727,-8671,850
1,1,-1736,-8671,860
1,1,-1742,-8671,881
1,1,-1793,-8671,912
1,1,-1839,-8671,924
1,1,-1861,-8671,934
1,1,-1888,-8671,885
1,1,-1866,-8671,995
1,1,-1881,-8671,985
1,1,-1887,-8671,965
1,1,-1912,-8671,886
1,1,-1888,-8671,1035
1,1,-1936,-8671,887
1,1,-1934,-8671,937
1,1,-1977,-8671,798
1,1,-1935,-8671,966
1,1,-1924,-8671,1037
1,1,-1990,-8671,839
1,1,-2015,-8671,759
1,1,-1985,-8671,889
1,1,-1984,-8671,929
1,1,-2050,-8671,730
1,1,-2046,-8671,780
1,1,-2042,-8671,830
1,1,-2040,-8671,870
1,1,-2099,-8671,732
1,1,-2113,-8671,692
1,1,-2153,-8671,574
1,1,-2102,-8671,762
1,1,-2165,-8671,574
1,1,-2091,-8671,832
1,1,-2165,-8671,614
1,1,-2151,-8671,694
1,1,-2153,-8671,724
1,1,-2214,-8671,546
1,1,-2145,-8671,784
1,1,-2206,-8671,606
1,1,-2140,-8671,833
1,1,-2205,-8671,646
1,1,-2142,-8671,864
1,1,-2208,-8671,676
1,1,-2199,-8671,735
1,1,-2273,-8671,528
1,1,-2264,-8671,588
1,1,-2193,-8671,825
1,1,-2202,-8671,796
1,1,-2256,-8671,647
1,1,-2309,-8671,499
1,1,-2190,-8671,865
1,1,-2311,-8671,529
1,1,-2305,-8671,618
1,1,-2308,-8671,609
1,1,-2242,-8671,826
1,1,-2249,-8671,807
1,1,-2469,-8671,-20
1,1,-2484,-8671,29
1,1,-2446,-8671,-49
1,1,-2452,-8671,-29
