#CSV created by Body Aspect
Body part , layer ,  X  , Y ,  Z 
1,1,-1082,-8088,-1079
1,1,-1140,-8088,-1071
1,1,-1160,-8088,-972
1,1,-1151,-8088,-892
1,1,-1171,-8088,-942
1,1,-1180,-8088,-883
1,1,-1186,-8088,-943
1,1,-1188,-8088,-823
1,1,-1198,-8088,-783
1,1,-1205,-8088,-724
1,1,-1214,-8088,-674
1,1,-1233,-8088,-715
1,1,-1242,-8088,-675
1,1,-1244,-8088,-576
1,1,-1268,-8088,-537
1,1,-1278,-8088,-507
1,1,-1294,-8088,-418
1,1,-1316,-8088,-379
1,1,-1330,-8088,-379
1,1,-1353,-8088,-350
1,1,-1378,-8088,-331
1,1,-1380,-8088,-351
1,1,-1395,-8088,-262
1,1,-1402,-8088,-222
1,1,-1425,-8088,-193
1,1,-1432,-8088,-153
1,1,-1457,-8088,-145
1,1,-1471,-8088,-65
1,1,-1478,-8088,-116
1,1,-1484,-8088,-66
1,1,-1505,-8088,-37
1,1,-1528,-8088,-18
1,1,-1547,-8088,22
1,1,-1553,-8088,61
1,1,-1572,-8088,101
1,1,-1581,-8088,120
1,1,-1610,-8088,169
1,1,-1630,-8088,198
1,1,-1637,-8088,228
1,1,-1642,-8088,268
1,1,-1659,-8088,307
1,1,-1674,-8088,356
1,1,-1678,-8088,336
1,1,-1685,-8088,366
1,1,-1728,-8088,394
1,1,-1738,-8088,403
1,1,-1764,-8088,452
1,1,-1766,-8088,502
1,1,-1783,-8088,421
1,1,-1778,-8088,501
1,1,-1782,-8088,481
1,1,-1825,-8088,560
1,1,-1829,-8088,539
1,1,-1837,-8088,559
1,1,-1861,-8088,608
1,1,-1880,-8088,577
1,1,-1889,-8088,536
1,1,-1885,-8088,607
1,1,-1916,-8088,676
1,1,-1930,-8088,615
1,1,-1939,-8088,675
1,1,-1941,-8088,714
1,1,-1982,-8088,642
1,1,-1981,-8088,692
1,1,-1985,-8088,722
1,1,-2012,-8088,751
1,1,-2028,-8088,690
1,1,-2029,-8088,730
1,1,-2033,-8088,760
1,1,-2080,-8088,668
1,1,-2078,-8088,718
1,1,-2079,-8088,758
1,1,-2089,-8088,808
1,1,-2130,-8088,655
1,1,-2128,-8088,706
1,1,-2135,-8088,765
1,1,-2135,-8088,806
1,1,-2180,-8088,723
1,1,-2206,-8088,672
1,1,-2181,-8088,804
1,1,-2184,-8088,793
1,1,-2046,-8088,379
1,1,-2066,-8088,348
1,1,-2078,-8088,348
1,1,-2083,-8088,378
1,1,-2128,-8088,345
1,1,-2124,-8088,406
1,1,-2132,-8088,375
1,1,-2137,-8088,405
1,1,-2214,-8088,201
1,1,-2222,-8088,171
1,1,-2178,-8088,383
1,1,-2235,-8088,170
1,1,-2185,-8088,403
1,1,-2239,-8088,200
1,1,-2255,-8088,139
1,1,-2222,-8088,311
1,1,-2229,-8088,331
1,1,-2278,-8088,148
1,1,-2230,-8088,371
1,1,-2258,-8088,269
1,1,-2282,-8088,178
1,1,-2229,-8088,421
1,1,-2278,-8088,238
1,1,-2280,-8088,278
1,1,-2332,-8088,86
1,1,-2284,-8088,308
1,1,-2331,-8088,136
1,1,-2335,-8088,166
1,1,-2329,-8088,276
1,1,-2378,-8088,104
1,1,-2384,-8088,83
1,1,-2356,-8088,225
1,1,-2387,-8088,204
1,1,-2399,-8088,163
1,1,-2379,-8088,274
1,1,-2483,-8088,129
1,1,-2498,-8088,78
1,1,-2333,-8088,-105
1,1,-2347,-8088,-155
1,1,-2415,-8088,-168
1,1,-2428,-8088,-169
1,1,-2652,-8088,-261
1,1,-2625,-8088,-260
1,1,-2644,-8088,-212
1,1,-2619,-8088,-240
1,1,-2577,-8088,-237
1,1,-2556,-8088,-255
1,1,-2633,-8088,-61
1,1,-2516,-8088,-323
1,1,-2569,-8088,-187
1,1,-2619,-8088,-59
1,1,-2476,-8088,-390
